Manufacturer,Model,Similarity with Model,Key Novelty,Key Idea that can be used for your work,Any Other Information
"Xylem / YSI","EXO2 Sonde + DB600 Buoy",40%,"Anti-fouling central wiper; smart sensor auto-recognition across 7 ports; SDI-12/RS-485 integration","Anti-fouling wiper mechanism to prevent biofouling on submerged sensors during long deployments; SmartQC sensor self-diagnostics","Stationary buoy (not mobile); uses 4G/Iridium telemetry; no ML/prediction; extremely expensive (>$15,000 USD); rated to 250m depth; gold standard for data accuracy"
"OceanAlpha","SL40 Compact River Survey USV",70%,"Compact 1.65m river-scale USV (42 kg) with internal probe well/moon pool; 0.15m shallow draught for river navigation; electric water-jet propulsion; autonomous waypoint survey","Internal moon pool for submerged probe integration (e.g. YSI EXO sonde); shallow-draft design for river deployment; compact electric water-jet propulsion suitable for narrow channels","River-scale USV (1.65m, 42 kg); 25 kg payload; 10 knots max speed; single-person deployable; also available as SL20 (1.05m, 17 kg); no LoRa (uses 4G); no onboard ML; used in lagoon WQ monitoring"
"Libelium","Waspmote Plug & Sense! Smart Water",50%,"True plug-and-play modular sensor architecture with LoRaWAN support; IP65-rated for harsh environments; supports ion-specific sensors (NO3-, F-, Ca2+)","LoRaWAN communication for long-range, low-power telemetry; modular sensor socket design for easy field swaps; solar-powered autonomous operation","Stationary node (no boat/mobility); no ML prediction; sensor probes need replacement every 6-12 months; CE/FCC certified; -20C to +60C operating range"
"Clearpath Robotics","Heron M300 USV",50%,"Open-source ROS/MOOS-IvP software stack; foldable catamaran for single-person deployment; submerged sensor payload bay","ROS-based autonomous navigation for GPS waypoint traversal; compact, portable catamaran design; simulation support via Gazebo UUV Simulator for testing before deployment","Research platform, not production WQM; WiFi only (2.4 GHz), no LoRa; 2.5 hours battery life; 10 kg payload; no ML; ~$28,000 USD"
"NexSens Technology","CB-450 Data Buoy",30%,"Robust polyurea-coated foam hull; triple 15W solar panel array (45W total); supports RS-232/RS-485/SDI-12 sensor interfaces","Solar power management with 45W panel array; multi-interface sensor compatibility (SDI-12, RS-485); industrial-grade mooring system design","Stationary buoy only; 204 kg buoyancy; requires separate data logger (X-Series); 4G LTE / Iridium telemetry; no mobility, no ML; designed for lakes/coastal"
"LG Sonic","MPC-Buoy",30%,"Ultrasonic algal bloom treatment (not just monitoring); AI-based algal bloom prediction 3-10 days in advance using 10+ years of global data","Predictive AI for water quality events (bloom prediction); adaptive ultrasonic frequency adjustment based on species identification; 10-minute sampling intervals","Specialized for algal bloom control, not general WQM; 3x195W solar panels; 500m treatment diameter; 4G/satellite telemetry; very different use case from river pollution"
"TracWater","Floating Buoy Sensor",40%,"Fully integrated plug-and-play buoy with auto-registration; geo-mapped data with unique date/time/location signature per reading; remote calibration via software portal","Remote sensor calibration reducing field visits; geo-tagging every data point with unique signature; heartbeat monitoring for battery life and signal strength","Stationary buoy; 4G (LTE-M / NB-IoT) connectivity; ISO 9001 certified components; supports freshwater, seawater, wastewater; no mobility or ML prediction"
"Platypus LLC","Lutra Airboat",70%,"Above-water fan propulsion to avoid disturbing water (preserves DO accuracy); operates in 6 inches of water; 1,200+ data points per km","Air propulsion design to prevent water disturbance during sensitive measurements; ultra-high spatial sampling density (4,500 pts/acre); flexible sensor mounting platform","Closest commercial match to your concept; uses In-Situ Aqua TROLL 600 sonde; no LoRa (WiFi-based); no onboard ML; designed for shallow waters; USA-based service"
"CHC Navigation","Apache 3 Pro USV",60%,"Shallow-draft catamaran (0.15m draught) with carbon fiber-Kevlar hull; GNSS RTK + IMU for positioning under bridges; mmWave radar obstacle avoidance (110 deg FOV); 10-hour battery with hot-swap","GNSS RTK + INS/IMU for accurate positioning in GNSS-denied areas (under bridges/valley walls); mmWave radar obstacle avoidance; hot-swappable battery design for extended river missions","Compact river USV (1.05m, 6-10 kg); 35 kg payload; supports WQ probes (pH, temp, conductivity, DO); IP67; 4G LTE comms; primarily bathymetric but adaptable for WQ; single-person deployable"
"Research (MDPI Sensors, 2024)","LoRa-based IoT WQM with ESP32 Gateway",70%,"ESP32 + LoRa SX1278 two-tier architecture; CayenneLPP efficient payload format; solar-powered with 20 km2 coverage","LoRa SX1278 communication architecture; CayenneLPP low-power payload encoding; solar + TP4056 charging circuit design; elevated gateway placement strategy for LoS","Stationary sensor node (no boat); no ML prediction; uses ThingSpeak/Blynk for dashboard; similar sensor suite (pH, turbidity, TDS, temp); very similar to your gateway design"
"Research (E3S Conferences, 2025)","Autonomous Electric USV for Water Quality Detection",80%,"Electric USV with AIS + GPS for autonomous river navigation; aligned with UN SDG 14; integrated multi-parameter sensor suite","Autonomous navigation using AIS (Automatic Identification System) for collision avoidance in rivers; alignment with SDG goals for academic framing; electric propulsion for zero-emission","Most similar to your Stage 2 concept; uses ESP32; no LoRa (uses WiFi/4G); no ML prediction; targets river environments specifically"
"Research (TheASPD, 2025)","Smart IoT-Based WQM for Lake Management (Bengaluru)",50%,"Real-world deployment in Bengaluru lakes; network outage recovery mechanism; cloud logging with automatic reconnection","Network outage recovery and automatic reconnection logic; real-world deployment lessons for sensor calibration in Indian water conditions; cloud data bucketing for cost optimization","Stationary deployment; uses ESP32 + WiFi; no LoRa; no boat; no ML; Indian deployment context relevant to your CPCB-aligned project"
"Research (RSIS International, 2025)","Advanced Floating Robotic System for WQM (Review Paper)",60%,"Comprehensive review of design methodologies for floating robots; identifies key limitations: sensor calibration drift, environmental interference, biofouling","Design considerations for hydrodynamic stability of floating platforms; identified calibration drift solutions; biofouling mitigation strategies; power budget analysis for mobile aquatic platforms","Review paper (not a single system); covers sensor calibration challenges directly relevant to your probe mast design; discusses river current impact on sensor accuracy"
"Research (STM Journals, 2025)","IoT & Autonomous RC Boats for WQA: Trends & Future Prospects (Review)",70%,"Comprehensive review covering navigation, sensor integration, and AI analytics for RC/autonomous WQ boats; identifies AI path optimization as high-impact area","AI-powered path optimization for efficient waypoint coverage; sensor integration best practices for RC boats; navigation system comparison (GPS vs. vision vs. laser)","Review paper; directly relevant to both your Stage 1 (RC) and Stage 2 (Autonomous) concepts; discusses power management for mobile platforms"
"Research (MDPI Drones, 2025)","Drone-Boat Hybrid WQM with Multispectral Imaging",40%,"Hybrid approach: aerial drone identifies pollution hotspots via multispectral imaging, then guides boat to sample those locations; high-res spatial WQ maps","Concept of using aerial imagery to identify sampling hotspots before deploying the boat; multispectral imaging for non-contact water quality estimation; spatial heatmap generation","Requires both drone + boat hardware; complex dual-system coordination; no LoRa; concept could inform your Stage 2 waypoint selection using satellite/aerial data"
