"","","You have to Rank Every Solution in a Scale from 0 to 10 (0-Worst; 10-Best). For few cases it may over 10 as well.","","","","","","","","","","",""
"","Briefly describe the solution here","Since the total cost is limited to 50k, you have to divide the cost of the idea by 50k and multiply by 10. So, if the cost of the idea is 50k, the idea will get 10 marks. If it is less than 50k, the idea will get more than 10. Otherwise, if the cost overshoots 50k, the idea will get less than 10 marks.","If all the parts are available nearby Mandi, the idea gets 10 marks. If the parts will take some time for delivery (let's say they are coming from Delhi), the idea gets less than 10 marks.","If it is easy to manufacture the idea here at IIT Mandi, using the resources we have, the idea gets 10 marks. If the manufacturing is complex, the idea gets less than 10 marks based on complexity.","If the idea fulfils all the purposes relevant to the problem, it gets 10 marks. If the idea is fulfilling partial purposes, it gets less than 10 marks. If the idea fulfils the purpose and also has extra features, it gets more than 10 marks.","For a customer, if the solution is easy to use, it gets 10 marks. The same applies to aesthetics. The increase in complexity in use (by a customer) will lead to marks less than 10 for the idea","This is to determine how well the power source is integrated into the sensors or in the device. If it is very difficult to integrate the power source, the idea gets less than 10 marks based on difficulty. If it is easy to integrate the power source, the idea gets 10 marks.","This is to determine how well you can integrate the electronics into the device. If it is very difficult to integrate all the sensors and electronics, the idea gets less than 10 marks based on difficulty. If it is easy to integrate, the idea gets 10 marks.","Since you have to build the prototype within 3 months, the time-bound feasibility is really important. If an Idea can be manufactured within 3 months, it should get 10 marks. The marks will decrease with an increase in the manufacturing time.","Each prototype or solution requires maintenance or servicing after using a certain number of cycles. If the solution requires very less maintenance while serving for 10k cycles, it should get 10 marks. Otherwise, the marks should decrease with an increase in servicing requirements.","This is very subjective. Here you have to mark the idea on its overall feel i.e. how do you feel about the about. If you have a very good feeling about the idea it should get 10. The marks should decrease if you don't feel confident about the idea.","Total Out of 100",""
"S. No.","Solution Description","Cost of the Idea ((50000/Amount)*10)","Availability of Parts","Ease of Manufacturing or Assembly","Fulfilment of Purpose","Ergonomics / Aesthetics","Integration of Power Source","Integration of Electronics","Timebound Manufacturing Feasibility","Maintenance or Servicing Cost","Overall Feel/Confidence in the Solution","Overall Score","Extra Remarks"
"1","Stationary buoy","18.5","9","9","5","6","9","9","10","6","5","=SUM(C4:L4)","Baseline, but fails to provide spatial coverage."
"2","Stationary buoy with lora communication to a gateway for edge compute","18.5","9","9","6","8","9","8","9","6","6","=SUM(C5:L5)","Solves telemetry but still stationary."
"3","Replace the edge compute with cloud compute","17.8","9","9","8","9","9","8","9","6","7","=SUM(C6:L6)","Great ML predictive capabilities."
"4","Replace the esp32 with stm32 for good adc","17.2","9","8","9","9","9","9","9","6","8","=SUM(C7:L7)","Crucial for accurate analog sensor readings."
"5","Turbine powered","14.2","6","5","9","7","4","7","5","3","4","=SUM(C8:L8)","High risk of failure due to river debris clogging turbine."
"6","Solar panels powered","16.1","9","9","9","9","9","9","9","8","8","=SUM(C9:L9)","Best stationary solution."
"7","Autonomous Box boat with sensors deployed on bottom of boat","12.8","8","7","10","9","7","6","7","6","7","=SUM(C10:L10)","Box shape struggles in river currents; ESC noise is an issue."
"8","Completely autonomous with swath hull","9.2","6","3","11","9","6","6","4","5","5","=SUM(C11:L11)","Too complex and expensive for a 3-month timeline."
"9","Autonomous with fixed waypoints","12.5","8","7","10","9","7","6","6","6","7.5","=SUM(C12:L12)","Stage 2 goal, solid but takes time to tune PID/Nav."
"10","Rc Airboat","13.1","8","8","8","7","6","7","8","5","6","=SUM(C13:L13)","Loud fan disturbs water surface, ruining DO readings."
"11","RC boat with single hull","13.5","9","9","9","8","8","7","9","8","8.5","=SUM(C14:L14)","Great for Stage 1 validation."
"12","RC boat with swath hull","10.4","6","4","10","7","6","7","5","5","6","=SUM(C15:L15)","SWATH still too complex even without autonomy."
"13","RC boat with micro solar plates","12.5","8","8","9","8","8","7","8","7","9","=SUM(C16:L16)","Current Final Stage 1 Design. Excellent balance."
